bvmc_id,nombre,wikidata_uri,pais,sexo,imagen,ano_nacimiento,ano_fallecimiento,generos
1694,Ottokar Kernstock,http://www.wikidata.org/entity/Q88076,Austria,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Ottokar%20Kernstock.jpg,1848,1928,
1705,August Kopisch,http://www.wikidata.org/entity/Q88387,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Young%20August%20Kopisch.jpg,1799,1853,
22419,Johann Heinrich Samuel Formey,http://www.wikidata.org/entity/Q88385,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Formey.jpg,1711,1797,
47965,Peter Stadlen,http://www.wikidata.org/entity/Q88548,Austria,masculino,,1910,1996,
37189,Rudolf Goldscheid,http://www.wikidata.org/entity/Q88967,Austria,masculino,,1870,1931,
54994,Hans Rosbaud,http://www.wikidata.org/entity/Q89527,Austria,masculino,,1895,1962,
10374,Otto Leixner von Grünberg,http://www.wikidata.org/entity/Q89699,Alemania,masculino,,1847,1907,
10374,Otto Leixner von Grünberg,http://www.wikidata.org/entity/Q89699,Austria,masculino,,1847,1907,
72805,Johann Hübner,http://www.wikidata.org/entity/Q89840,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20H%C3%BCbner.jpg,1668,1731,
43884,John Rewald,http://www.wikidata.org/entity/Q90497,Alemania,masculino,,1912,1994,
43884,John Rewald,http://www.wikidata.org/entity/Q90497,Estados Unidos,masculino,,1912,1994,
62133,Hieronymus Schurff,http://www.wikidata.org/entity/Q90596,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Hieronymus-Schurff.jpg,1481,1554,
61313,Johann Habermann,http://www.wikidata.org/entity/Q90836,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann-Habermann.jpg,1516,1590,
61203,Johannes Ferrarius,http://www.wikidata.org/entity/Q90845,Alemania,masculino,,1485,1558,
2381,August Friedrich Ernst Langbein,http://www.wikidata.org/entity/Q91140,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Langbein.jpg,1757,1835,
61300,Johann Oldendorp,http://www.wikidata.org/entity/Q91289,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Oldendorp.png,1488,1567,
39127,Georg Witzel,http://www.wikidata.org/entity/Q91326,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Georg-Witzel.jpg,1501,1573,
1654,Friedrich Haug,http://www.wikidata.org/entity/Q91396,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Christoph%20Friedrich%20Haug.jpg,1761,1829,
44068,Joseph Wulf,http://www.wikidata.org/entity/Q91507,Alemania,masculino,,1912,1974,
44068,Joseph Wulf,http://www.wikidata.org/entity/Q91507,Polonia,masculino,,1912,1974,
20990,Gaspar Schott,http://www.wikidata.org/entity/Q91673,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Magdeburg.jpg,1608,1666,
13627,Richard Pietschmann,http://www.wikidata.org/entity/Q91998,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Richard-Pietschmann.jpg,1851,1923,
604,Ernst Elias Niebergall,http://www.wikidata.org/entity/Q92065,Alemania,masculino,,1815,1843,
43622,Robert Lachmann,http://www.wikidata.org/entity/Q92229,Alemania,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Lachmann.jpeg,1892,1939,
35620,Ottmar Ette,http://www.wikidata.org/entity/Q92361,Alemania,masculino,,1956,,
2300,Coluccio Salutati,http://www.wikidata.org/entity/Q93113,,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Salutati.jpg,1331,1406,
16480,William Harvey,http://www.wikidata.org/entity/Q93128,Reino de Inglaterra,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Harvey%202.jpg,1578,1657,
31494,Pär Lagerkvist,http://www.wikidata.org/entity/Q93137,Suecia,masculino,http://commons.wikimedia.org/wiki/Special:FilePath/Lagerkvist.jpg,1891,1974,
